Name,Pubished Date,Original Price,Discount Price,Reviews,Tags
Call of Duty®: Warzone™,"
                    Nov 16, 2022                ",N/A,Free,44929,"['Free to Play', 'FPS', 'Multiplayer', 'Battle Royale', 'Shooter', 'Action', 'Singleplayer', 'Violent', 'First-Person', 'Gore', 'Military', 'Online Co-Op', 'PvP', 'Co-op', 'Survival', 'Realistic', 'Open World', 'Adventure', 'Third Person', 'Atmospheric']"
Call of Duty®,"
                    Oct 27, 2022                ",N/A,N/A,713937,"['FPS', 'Multiplayer', 'Shooter', 'Singleplayer', 'Action', 'Military', 'First-Person', 'War', 'Modern', 'Tactical', 'Violent', 'Co-op', 'Realistic', 'Story Rich', 'Atmospheric', 'Mature', 'Online Co-Op', 'Gore', 'Third-Person Shooter', 'Third Person']"
Tom Clancy's Rainbow Six® Siege,"
                    Dec 1, 2015                ",$19.99,$7.99,189668,"['FPS', 'PvP', 'Multiplayer', 'Tactical', 'eSports', 'Shooter', 'Competitive', 'Online Co-Op', 'Action', 'Hero Shooter', 'Team-Based', 'Military', 'Strategy', 'First-Person', 'Co-op', 'Realistic', 'War', 'Destruction', 'Difficult', '3D']"
The Elder Scrolls V: Skyrim Special Edition,"
                    Oct 27, 2016                ",$39.99,$9.99,189311,"['Open World', 'RPG', 'Adventure', 'Singleplayer', 'Fantasy', 'Character Customization', 'Moddable', 'Dragons', 'Story Rich', 'Magic', 'First-Person', 'Action', 'Atmospheric', 'Great Soundtrack', 'Third Person', 'Stealth', 'Classic', 'Remake', 'Female Protagonist', 'Walking Simulator']"
DOOM: The Dark Ages,"
                    May 14, 2025                ",N/A,$69.99,14399,"['Action', 'FPS', 'Demons', 'Dark Fantasy', 'Singleplayer', 'Sci-fi', 'Cinematic', 'Gore', 'Story Rich', 'First-Person', 'Atmospheric', 'Shooter', 'Lore-Rich', 'Dragons', 'Mature', 'Mechs', 'Blood', 'Adventure', 'Fast-Paced', 'Boomer Shooter']"
Call of Duty®: Black Ops 6 - BlackCell (Season 04),"
                    May 29, 2025                ",N/A,$29.99,50,"['Action', 'Gore', 'Violent']"
Rust,"
                    Feb 8, 2018                ",N/A,$39.99,019355,"['Survival', 'Crafting', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Building', 'PvP', 'Sandbox', 'Adventure', 'First-Person', 'Action', 'Nudity', 'FPS', 'Shooter', 'Co-op', 'Online Co-Op', 'Indie', 'Post-apocalyptic', 'Early Access', 'Simulation']"
Baldur's Gate 3,"
                    Aug 3, 2023                ",N/A,$59.99,670330,"['RPG', 'Character Customization', 'Choices Matter', 'Story Rich', 'Turn-Based Combat', 'Dungeons & Dragons', 'CRPG', 'Fantasy', 'Adventure', 'Sexual Content', 'Romance', 'Online Co-Op', 'Multiplayer', 'Strategy', 'Singleplayer', 'Co-op Campaign', 'Nudity', 'Class-Based', 'Dark Fantasy', 'Combat']"
9 Kings,"
                    May 23, 2025                ",$14.99,$9.74,4471,"['Strategy', 'Roguelike', 'RPG', 'Fantasy', 'Roguelike Deckbuilder', 'Roguelite', 'Card Game', 'Deckbuilding', 'Replay Value', 'Difficult', '2D', 'Turn-Based', 'Casual', 'Dark Fantasy', 'Singleplayer', 'Card Battler', 'Pixel Graphics', 'Turn-Based Strategy', 'Procedural Generation', 'Early Access']"
Guilty as Sock!,"
                    May 29, 2025                ",$5.50,$4.95,457,"['Multiplayer', 'Simulation', 'Sandbox', 'Conversation', 'Board Game', 'Casual', 'Colorful', 'Cartoony', 'Card Battler', 'First-Person', 'Parody', 'Logic', 'Online Co-Op', 'Funny', 'Diplomacy', 'PvP', 'Character Customization', 'Party Game']"
