Name,Year,Original Price,Discount Price,Reviews,Genre,Search Filter
Black Desert,2017,N/A,$9.99,58958,Action,newreleases
Grand Theft Auto V Enhanced,2025,N/A,$29.99,51923,Action,newreleases
Risk of Rain 2,2020,N/A,$24.99,212208,Action,newreleases
Call of Duty®: Warzone™,2022,N/A,Free,44946,Action,newreleases
American Truck Simulator,2016,N/A,$19.99,144490,Indie,newreleases
The First Descendant,2024,N/A,Free,103373,Action,newreleases
THE FINALS,2023,N/A,Free,230880,Action,newreleases
Outer Wilds,2020,$24.99,$16.49,70812,Action,newreleases
Enshrouded,2024,N/A,$29.99,69987,Action,newreleases
Red Dead Redemption 2,2019,N/A,$59.99,675286,Action,newreleases
Hearts of Iron IV,2024,N/A,$49.99,237592,Simulation,newreleases
Sea of Thieves: 2025 Edition,2020,N/A,$39.99,306572,Action,newreleases
GUILTY GEAR -STRIVE-,2021,N/A,$27.20,42398,Action,newreleases
RimWorld,2018,N/A,$34.99,178210,Indie,newreleases
Limbus Company,2023,N/A,Free,63365,Action,newreleases
Planet Zoo,2019,$44.99,$13.49,72871,Casual,newreleases
inZOI,2025,N/A,$39.99,19029,Adventure,newreleases
Counter-Strike 2,2012,N/A,Free,814654,Action,upcomingreleases
The Elder Scrolls IV: Oblivion Remastered,2025,$49.99,$39.99,45396,RPG,upcomingreleases
ELDEN RING NIGHTREIGN,2025,N/A,$39.99,43929,Action,upcomingreleases
Clair Obscur: Expedition 33,2025,N/A,$49.99,74999,Action,upcomingreleases
Schedule I,2025,N/A,$19.99,187245,Action,upcomingreleases
FANTASY LIFE i: The Girl Who Steals Time,2025,N/A,$59.99,6498,RPG,upcomingreleases
The Elder Scrolls® Online,2017,$19.99,$4.99,127817,Action,upcomingreleases
Dead by Daylight,2016,N/A,$19.99,579559,Action,upcomingreleases
Marvel Rivals,2024,N/A,Free,287122,Action,upcomingreleases
HELLDIVERS™ 2,2024,N/A,$39.99,740573,Action,upcomingreleases
Warframe,2013,N/A,Free,620159,Action,upcomingreleases
R.E.P.O.,2025,N/A,$9.99,151738,Action,upcomingreleases
Tainted Grail: The Fall of Avalon,2025,N/A,$44.99,10694,Action,upcomingreleases
Destiny 2,2019,N/A,Free,625645,Action,upcomingreleases
Apex Legends™,2020,N/A,Free,994746,Action,upcomingreleases
Baldur's Gate 3,2023,N/A,$59.99,670517,Adventure,upcomingreleases
War Thunder,2013,N/A,Free,626162,Action,upcomingreleases
ELDEN RING,2022,N/A,$59.99,765837,Action,upcomingreleases
Tom Clancy's Rainbow Six® Siege,2015,N/A,$19.99,189913,Action,upcomingreleases
F1® 25,2025,N/A,$59.99,1784,Racing,upcomingreleases
Rust,2018,N/A,$39.99,019555,Action,upcomingreleases
"Warhammer 40,000: Space Marine 2",2024,$59.99,$35.99,118831,Action,upcomingreleases
Tom Clancy’s The Division® 2,2023,$29.99,$2.99,20073,Action,upcomingreleases
Call of Duty®: Black Ops 6,2024,$69.99,$38.49,11870,Action,upcomingreleases
RoadCraft,2025,N/A,$39.99,6245,Adventure,upcomingreleases
DOOM: The Dark Ages,2025,N/A,$69.99,14536,Action,upcomingreleases
STAR WARS™ Battlefront™ II,2020,N/A,$39.99,60814,Action,upcomingreleases
NBA 2K25,2024,N/A,$69.99,22726,Simulation,upcomingreleases
Call of Duty®: Black Ops III,2015,$59.99,$19.79,140563,Action,upcomingreleases
Call of Duty®,2022,N/A,N/A,714249,Action,upcomingreleases
The Elder Scrolls V: Skyrim Special Edition,2016,$39.99,$9.99,189401,RPG,upcomingreleases
Once Human,2024,N/A,Free,130420,Action,upcomingreleases
Blue Prince,2025,$29.99,$26.99,7451,Adventure,upcomingreleases
Stellaris,2016,N/A,$39.99,127459,Simulation,upcomingreleases
Drive Beyond Horizons,2025,N/A,$24.99,6068,Action,upcomingreleases
Fallout 76,2020,N/A,$39.99,66218,RPG,upcomingreleases
Split Fiction,2025,N/A,$49.99,51104,Action,upcomingreleases
Dota 2,2013,N/A,Free,499814,Action,upcomingreleases
FINAL FANTASY XIV Online,2014,N/A,$19.99,73331,Massively Multiplayer,upcomingreleases
The Last of Us™ Part II Remastered,2025,N/A,$49.99,15235,Action,upcomingreleases
Sekiro™: Shadows Die Twice - GOTY Edition,2019,$59.99,$29.99,234398,Action,upcomingreleases
THRONE AND LIBERTY,2024,N/A,Free,63505,Action,upcomingreleases
The Sims™ 4,2020,N/A,Free,170591,Adventure,upcomingreleases
9 Kings,2025,$14.99,$9.74,4740,RPG,upcomingreleases
The Outlast Trials,2024,$39.99,$15.99,55391,Action,upcomingreleases
Magic: The Gathering Arena,2023,N/A,Free,19123,Strategy,upcomingreleases
Cyberpunk 2077,2020,N/A,$59.99,749081,RPG,upcomingreleases
Yu-Gi-Oh! Master Duel,2022,N/A,Free,86714,Simulation,upcomingreleases
Steam Deck,2025,N/A,$399.00,N/A,N/A,upcomingreleases
Monster Train 2,2025,N/A,$24.99,3194,Indie,upcomingreleases
Wuthering Waves,2025,N/A,Free,12341,Action,upcomingreleases
Call of Duty®: Black Ops 6 - BlackCell (Season 04),2025,N/A,$29.99,52,Action,upcomingreleases
Monster Hunter Wilds,2025,N/A,$69.99,133565,Action,upcomingreleases
STAR WARS™: The Old Republic™,2020,N/A,Free,67878,Massively Multiplayer,upcomingreleases
Factorio,2020,N/A,$35.00,171262,Casual,upcomingreleases
Farming Simulator 25,2024,N/A,$49.99,21655,Simulation,upcomingreleases
Arma Reforger,2023,N/A,$38.23,27871,Action,upcomingreleases
EA SPORTS FC™ 25,2024,N/A,$69.99,68529,Simulation,upcomingreleases
Dune: Awakening,2025,N/A,$49.99,N/A,Action,upcomingreleases
Ready or Not,2023,N/A,$49.99,185048,Action,upcomingreleases
"Warhammer 40,000: Darktide",2022,$39.99,$15.99,90323,Action,upcomingreleases
Crusader Kings III,2020,N/A,$49.99,80377,RPG,upcomingreleases
Team Fortress 2,2007,N/A,Free,161046,Action,upcomingreleases
No Man's Sky,2016,$59.99,$23.99,266184,Action,upcomingreleases
Guilty as Sock!,2025,$5.50,$4.95,539,Casual,upcomingreleases
Lost Ark,2022,N/A,Free,202025,Action,upcomingreleases
Diablo® IV,2024,$49.99,$27.49,36376,Action,upcomingreleases
PUBG: BATTLEGROUNDS,2017,N/A,Free,557172,Action,upcomingreleases
Gray Zone Warfare,2024,N/A,$39.99,54218,Action,upcomingreleases
Stardew Valley,2016,N/A,$14.99,756469,Indie,upcomingreleases
The Elder Scrolls Online: 2025 Content Pass,2025,N/A,$49.99,39,Action,upcomingreleases
Phasmophobia,2020,N/A,$19.99,626103,Action,upcomingreleases
Stellar Blade™,2025,N/A,$59.99,N/A,Action,upcomingreleases
ARK: Survival Ascended,2023,N/A,$44.99,68952,Action,upcomingreleases
VRChat,2017,N/A,Free,240202,Adventure,upcomingreleases
Kingdom Come: Deliverance II,2025,N/A,$59.99,76255,Action,upcomingreleases
Forza Horizon 5,2021,N/A,$59.99,207326,Action,upcomingreleases
RuneScape: Dragonwilds,2025,N/A,$29.99,17250,Action,upcomingreleases
Call of Duty®: Black Ops II,2012,$59.99,$19.79,21131,Action,upcomingreleases
Balatro,2024,N/A,$14.99,123052,Casual,upcomingreleases
Path of Exile 2,2024,N/A,$29.99,126914,Action,upcomingreleases
iRacing,2015,N/A,$9.99,3478,Massively Multiplayer,upcomingreleases
BeamNG.drive,2015,N/A,$24.99,296871,Racing,upcomingreleases
Car Dealer Simulator,2025,$19.99,$17.99,645,Casual,upcomingreleases
Black Desert,2017,N/A,$9.99,58958,Action,upcomingreleases
